"","Feature_chr","Feature_start","Feature_end","Feature_gene_biotype","Feature_gene_name","PBS_2","PBS_3","PBS_4","PBS_5","FPAS_2","FPAS_3","FPAS_4","FPAS_5","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","FoldChange","baseMean_PBS","baseMean_FPAS","DE_status"
"ENSMUSG00000031706.7","chr8",84066834,84096992,"protein_coding","Rfx1",494,484,404,711,586,718,142,516,495.957759428082,0.262513711156689,0.424736491471112,0.618062531541498,0.536534119653152,0.828026218098402,1.19956697649086,450.997131100358,540.918387755806,"NS"
"ENSMUSG00000064326.13","chr12",112644679,112649149,"protein_coding","Siva1",122,35,23,199,69,149,90,142,105.504386428715,0.577498708017297,0.934524249008779,0.617960110323336,0.536601633556382,NA,1.49225977900382,84.685780699587,126.322992157844,"NS"
"ENSMUSG00000021756.12","chr13",112464070,112510086,"protein_coding","Il6st",6510,8334,6447,5151,4691,6332,5101,5117,5733.88144881691,0.100007153325829,0.1618374191698,0.617948270794537,0.536609438199185,0.828026218098402,1.071778776732,5534.79669044269,5932.96620719113,"NS"
"ENSMUSG00000109946.1","chr2",27442324,27444221,"protein_coding","Brd3os",0,80,51,147,0,104,0,0,41.3809502323737,-1.46360337559483,2.37028938061191,-0.617478771818563,0.536918978953701,NA,0.362586376434736,60.7799423538452,21.9819581109023,"NS"
"ENSMUSG00000005034.15","chr3",146729574,146812990,"protein_coding","Prkacb",1316,1105,1457,1261,759,1032,1394,365,1034.81954015813,-0.19176876818095,0.310630051697803,-0.61735420360266,0.537001121866727,0.828026218098402,0.875531646633219,1103.68693304717,965.952147269088,"NS"
"ENSMUSG00000091159.1","chr9",22454290,22462062,"protein_coding","Gm17545",0,0,25,0,0,27,0,48,13.9295337343011,1.9752213210795,3.19973150737895,0.617308457451635,0.537031289431077,NA,3.93188553093573,5.6507318817236,22.2083355868786,"NS"
"ENSMUSG00000024829.12","chr19",3282901,3292837,"protein_coding","Mrpl21",230,288,301,83,44,348,0,98,153.694911850143,-0.640298745218782,1.03742510268321,-0.617199972858478,0.537102833630205,NA,0.641580080211009,187.31043086666,120.079392833626,"NS"
"ENSMUSG00000022793.17","chr16",38742264,38769049,"protein_coding","B4galt4",207,453,389,396,399,499,265,189,334.659892874398,0.246273151253879,0.399093618897321,0.617081154878699,0.537181198062101,NA,1.18613905462957,306.271777072717,363.048008676079,"NS"
"ENSMUSG00000029156.11","chr5",73632749,73647790,"protein_coding","Sgcb",1183,737,938,578,483,825,692,375,686.661950792544,-0.18219182827882,0.29527702882457,-0.617019986295867,0.537221543028934,0.828026218098402,0.881362959486521,730.107667701775,643.216233883314,"NS"
"ENSMUSG00000029545.13","chr5",115110299,115119346,"protein_coding","Acads",549,767,637,828,512,683,443,300,558.740585859071,-0.177279874055272,0.287417413543173,-0.616802829967164,0.537364785143345,0.828026218098402,0.884368856515043,593.224102600054,524.257069118088,"NS"
"ENSMUSG00000030317.8","chr6",115241892,115252205,"protein_coding","Timp4",703,978,282,716,311,483,437,0,437.258939436755,-0.80365500144713,1.30338366167854,-0.616591280891276,0.53750434701481,0.828026218098402,0.572895931949869,556.02124123076,318.496637642749,"NS"
"ENSMUSG00000029231.15","chr5",75152292,75198215,"protein_coding","Pdgfra",2449,2776,2118,1956,1145,1613,1297,2081,1858.47742737031,-0.14855934205857,0.240967847312655,-0.61651105620666,0.537557277117777,0.828026218098402,0.90215089000217,1953.58412834867,1763.37072639194,"NS"
"ENSMUSG00000031422.16","chrX",136732942,136743690,"protein_coding","Morf4l2",1118,1330,1161,1123,1123,1457,438,1082,1067.61047431832,0.178120621893169,0.288967791454336,0.616403028852148,0.537628554815386,0.828026218098402,1.13140905456019,1001.75333462203,1133.4676140146,"NS"
"ENSMUSG00000027204.13","chr2",125300594,125507993,"protein_coding","Fbn1",5775,6523,4344,4327,3568,4627,3234,3359,4245.55619818963,-0.096700302528411,0.1568784448187,-0.616402735507512,0.537628748374031,0.828026218098402,0.935169444492064,4387.45477872819,4103.65761765107,"NS"
"ENSMUSG00000028292.14","chr4",34614957,34660167,"protein_coding","Rars2",117,257,152,479,137,252,0,150,181.846147854459,-0.595947542826303,0.966997888703292,-0.616286291612742,0.537705584731629,NA,0.661609776006792,218.901233407348,144.791062301569,"NS"
"ENSMUSG00000029649.10","chr5",147860461,147876456,"protein_coding","Pomp",1080,938,989,410,613,476,504,576,668.826190549833,-0.201726544176419,0.327431241938784,-0.616088260185427,0.537836269883401,0.828026218098402,0.869509355738006,715.259243355498,622.393137744167,"NS"
"ENSMUSG00000044678.11","chr15",74796874,74799986,"protein_coding","Ly6k",0,120,0,34,27,0,0,0,18.5989965912563,-1.89763808654207,3.08031892141575,-0.616052472147881,0.537859888871998,NA,0.26838238937081,29.3226728917514,7.8753202907612,"NS"
"ENSMUSG00000023892.8","chr17",21450374,21465587,"protein_coding","Zfp51",179,90,102,34,84,28,0,49,66.0698804202329,-0.845763304407139,1.37297156276272,-0.616009338682351,0.537888356306,NA,0.556416341186046,84.8752829558283,47.2644778846376,"NS"
"ENSMUSG00000047586.4","chr7",28543596,28547254,"protein_coding","Nccrp1",1514,1481,939,763,1738,208,1353,1025,1134.15373918939,0.405112589955415,0.657674963027381,0.615976907636285,0.537909760803411,0.828026218098402,1.3241922481934,975.864356742786,1292.443121636,"NS"
"ENSMUSG00000056211.13","chr1",128103301,128237736,"protein_coding","R3hdm1",2631,2274,2204,2337,1857,2115,2253,1581,2097.01400687965,0.114513904951975,0.185978426589182,0.615737572642933,0.538067735171428,0.828026218098402,1.08261021434847,2013.79087273426,2180.23714102504,"NS"
"ENSMUSG00000030474.9","chr7",43651070,43660161,"protein_coding","Siglece",81,22,58,42,58,0,0,0,30.5258453534374,-1.38379502054326,2.247626238175,-0.615669543734663,0.538112642273067,NA,0.383209432937786,44.1343360082026,16.9173546986722,"NS"
"ENSMUSG00000041229.15","chrX",151520672,151633859,"protein_coding","Phf8",956,971,576,889,879,886,595,538,757.870752467923,0.159636808221818,0.259310219122307,0.615620968437511,0.538144708848352,0.828026218098402,1.11700590162419,715.991366213688,799.750138722157,"NS"
"ENSMUSG00000031565.18","chr8",25513654,25575718,"protein_coding","Fgfr1",4454,5301,4966,4308,3115,4630,4277,3519,4177.92265345788,0.103014965526303,0.167352005821062,0.615558594717111,0.538185885743303,0.828026218098402,1.07401561266177,4028.67850954532,4327.16679737043,"NS"
"ENSMUSG00000018171.9","chr11",86583865,86683836,"protein_coding","Vmp1",1318,1112,883,910,923,1109,628,885,940.125624815678,0.148210354925292,0.240788157247526,0.615521779058822,0.538210190863556,0.828026218098402,1.10819391843134,891.749040781298,988.502208850057,"NS"
"ENSMUSG00000037553.14","chr4",133605299,133650154,"protein_coding","Zdhhc18",1064,1251,1245,1429,1159,1105,498,684,1009.24330389173,-0.169348165702009,0.275150213371287,-0.615475320288019,0.538240863001536,0.828026218098402,0.889244366231584,1068.48588103799,950.000726745464,"NS"
"ENSMUSG00000054728.17","chr13",42680623,43138526,"protein_coding","Phactr1",239,414,205,224,267,155,246,269,248.666013794336,0.291614176996465,0.4739487377135,0.615286324853015,0.53836564706228,NA,1.22400900929284,223.457684363777,273.874343224896,"NS"
"ENSMUSG00000026254.17","chr1",87213914,87240488,"protein_coding","Eif4e2",1095,1174,1000,896,799,1344,768,642,918.724522572183,0.126496913252575,0.205597250491793,0.615265588182683,0.538379339313147,0.828056010377212,1.09163981019736,878.714424757005,958.734620387361,"NS"
"ENSMUSG00000034321.14","chr19",41922292,41933423,"protein_coding","Exosc1",399,203,319,158,208,208,178,0,192.898974459501,-0.560638698724112,0.911363848363706,-0.615164513855472,0.538446080351191,NA,0.678001937529014,229.966343621927,155.831605297075,"NS"
"ENSMUSG00000074826.10","chr13",66904914,66909236,"protein_coding","Gm10767",16,16,20,0,61,59,0,0,20.4943568170638,1.49685356043291,2.43389854988519,0.615002445563526,0.538553105367541,NA,2.82226520058254,10.7257894192927,30.2629242148349,"NS"
"ENSMUSG00000024587.10","chr18",64499647,64516652,"protein_coding","Nars",1175,1994,1809,1508,766,1058,1927,583,1285.64141986984,-0.188524579456146,0.306602560319329,-0.614882600001109,0.538632254626823,0.828147478857324,0.877502670171487,1369.5411940593,1201.74164568038,"NS"
"ENSMUSG00000020897.12","chr11",69045647,69051664,"protein_coding","Aurkb",0,11,29,22,53,0,0,65,25.7794116119384,1.45844005290684,2.37211039287754,0.614828069252565,0.538668270142695,NA,2.74811057165374,13.7541055461078,37.804717677769,"NS"
"ENSMUSG00000021745.14","chr14",11553532,12242041,"protein_coding","Ptprg",1820,2153,1709,1880,897,3035,1804,1037,1689.30851692382,0.15321627195363,0.249265373894422,0.614671302154168,0.538771815661675,0.828147478857324,1.11204584991971,1600.0991999769,1778.51783387073,"NS"
"ENSMUSG00000046447.3","chr4",138454314,138460123,"protein_coding","Camk2n1",672,686,338,680,426,442,466,241,468.256100929316,-0.20780451828022,0.338094504332272,-0.614634416169018,0.538796180505132,0.828147478857324,0.865853878696691,501.945973751052,434.56622810758,"NS"
"ENSMUSG00000029499.11","chr5",110274282,110286186,"protein_coding","Pxmp2",181,44,167,183,0,97,168,0,98.1422728292341,-0.888037733512148,1.44497785587324,-0.614568403178389,0.538839786417731,NA,0.540348568084217,127.459910750613,68.8246349078547,"NS"
"ENSMUSG00000028167.15","chr3",135281221,135304426,"protein_coding","Bdh2",10,37,49,0,1,0,185,0,36.6136579757203,1.43934499467927,2.34209296026845,0.614555023688853,0.538848624664257,NA,2.71197709681427,19.7236561190978,53.5036598323428,"NS"
"ENSMUSG00000063535.7","chr7",7127073,7136755,"protein_coding","Zfp773",34,97,51,33,0,0,0,49,30.2863225315432,-1.38059636598997,2.24688731399308,-0.614448422665409,0.538919045950273,NA,0.384060003849402,43.7273831299915,16.8452619330949,"NS"
"ENSMUSG00000026111.15","chr1",37430139,37439124,"protein_coding","Unc50",288,397,200,233,404,378,46,246,263.678236289164,0.350019924709954,0.569751696225486,0.614337661526557,0.538992220320223,NA,1.27457823008732,231.821205848167,295.535266730161,"NS"
"ENSMUSG00000031478.16","chr8",22128283,22166435,"protein_coding","Nek3",93,0,67,0,57,0,92,108,57.4989992066722,1.2051639626253,1.96241703151954,0.614122249893088,0.539134546319919,NA,2.30563471462701,34.7818153341516,80.2161830791927,"NS"
"ENSMUSG00000024592.15","chr18",56955833,56975368,"protein_coding","C330018D20Rik",137,181,254,221,219,164,0,0,134.82824824876,-0.795318795304907,1.29509434480077,-0.614101048697929,0.539148555315208,NA,0.57621583172723,171.115041562531,98.5414549349901,"NS"
"ENSMUSG00000103906.1","chr15",75909735,75914535,"protein_coding","Tigd5",238,101,104,67,102,103,257,70,128.560480790254,0.47414952793704,0.772148776743017,0.61406498620258,0.539172384547783,NA,1.38909910129729,107.612989398158,149.50797218235,"NS"
"ENSMUSG00000014725.16","chr14",68606027,68655842,"protein_coding","Adam28",414,1627,271,71,430,414,0,73,345.547038945326,-0.928570354184426,1.51217433510674,-0.614063030053263,0.539173677139455,NA,0.525378710580362,453.071205345356,238.022872545296,"NS"
"ENSMUSG00000062115.15","chr11",60105013,60199197,"protein_coding","Rai1",3079,3067,2218,4235,2267,3767,2662,2165,2836.25222212079,0.133784125007278,0.217900666506729,0.613968406577347,0.539236204648275,0.828383958900033,1.09716775263705,2705.0945129128,2967.40993132879,"NS"
"ENSMUSG00000033159.14","chr1",75134554,75142711,"protein_coding","Cnppd1",1135,908,875,862,1059,1492,351,573,862.99040430458,0.198915623861078,0.324019386418843,0.613900378182775,0.539281160283222,0.828383958900033,1.14783528065045,803.791314524437,922.189494084723,"NS"
"ENSMUSG00000033882.15","chr3",82837228,82876483,"protein_coding","Rbm46",0,6,34,90,0,44,0,0,19.7733015967455,-1.69484554726702,2.76228177755721,-0.613567218607885,0.53950135134584,NA,0.308887726561016,30.2465439927246,9.30005920076634,"NS"
"ENSMUSG00000036800.8","chr15",71431609,71727838,"protein_coding","Fam135b",8,0,47,44,0,32,0,0,14.7941023395748,-1.74628230971702,2.84638742506811,-0.613508299796974,0.539540296516104,NA,0.298068885604894,22.8245252604104,6.76367941873916,"NS"
"ENSMUSG00000032679.12","chr2",104095801,104115354,"protein_coding","Cd59a",326,227,367,169,261,347,175,238,256.948138167548,0.278102384192935,0.453311139749944,0.613491175942294,0.539551615600492,NA,1.2125988708939,232.26902982971,281.627246505387,"NS"
"ENSMUSG00000037410.13","chr9",90202027,90270804,"protein_coding","Tbc1d2b",837,1810,1805,1339,920,1162,1173,1553,1304.80912083294,0.177474776376737,0.289336490287604,0.613385391522255,0.539621543075459,0.828383958900033,1.13090267454875,1224.38349211159,1385.2347495543,"NS"
"ENSMUSG00000043020.13","chr3",146040526,146108130,"protein_coding","Wdr63",227,105,76,84,52,77,83,272,126.276871601884,0.518986106193084,0.846165015223136,0.613339120450668,0.53965213141822,NA,1.4329478503696,103.729479804482,148.824263399287,"NS"
"ENSMUSG00000027166.14","chr2",105966709,106003549,"protein_coding","Dnajc24",93,59,180,195,96,104,0,60,93.9715206240052,-0.732157994685531,1.19389723183769,-0.613250433254267,0.539710762146772,NA,0.60200275953376,117.333092978866,70.6099482691444,"NS"
"ENSMUSG00000054770.16","chr1",57955101,58018956,"protein_coding","Kctd18",647,723,336,376,779,722,156,271,473.991208586929,0.267922662410411,0.43698588160344,0.613115145567903,0.539800206403504,0.828383958900033,1.20407283357307,430.124070364556,517.858346809302,"NS"
"ENSMUSG00000027429.16","chr2",144556229,144590749,"protein_coding","Sec23b",281,1248,290,713,473,576,257,277,472.281013669379,-0.266105010186204,0.434051243519092,-0.613072797646529,0.539828205881755,0.828383958900033,0.831561568872287,515.703047236594,428.858980102164,"NS"
"ENSMUSG00000027452.11","chr2",150618105,150668500,"protein_coding","Acss1",1268,1894,1141,1051,1054,1012,1206,312,1043.40978452118,-0.187943558763917,0.306575295076374,-0.613042087155444,0.539848511411676,0.828383958900033,0.877856140499101,1111.34481892355,975.474750118811,"NS"
"ENSMUSG00000022765.10","chr16",17405986,17430827,"protein_coding","Snap29",387,461,325,189,150,241,350,0,238.568227756039,-0.527875069072189,0.861086768237169,-0.613033539178477,0.539854163333369,NA,0.693575542500305,281.774399517828,195.36205599425,"NS"
"ENSMUSG00000021381.4","chr13",48662998,48666507,"protein_coding","Barx1",0,145,0,38,17,29,0,0,22.8915275924683,-1.64345280510039,2.68097348106431,-0.613005990811953,0.539872378512665,NA,0.320089486093696,34.6949357138176,11.088119471119,"NS"
"ENSMUSG00000027523.20","chr2",174284320,174346744,"protein_coding","Gnas",392,686,702,264,212,539,721,361,466.480157133973,0.252560526311358,0.412076826836881,0.612896697564925,0.539944647029413,0.828383958900033,1.19131961957437,425.710940997729,507.249373270218,"NS"
"ENSMUSG00000045302.13","chr5",30950853,30960361,"protein_coding","Preb",1137,1584,1090,860,610,952,974,647,926.740740479169,-0.140750653342164,0.229690668811962,-0.612783506052615,0.540019498318665,0.828383958900033,0.907047083901265,971.758010945192,881.723470013146,"NS"
"ENSMUSG00000028397.13","chr4",74242497,74405860,"protein_coding","Kdm4c",659,1101,742,568,664,1104,455,459,676.382516667807,0.168347466184167,0.274727848419366,0.61277903624531,0.540022454219642,0.828383958900033,1.12377052518483,637.075426368017,715.689606967596,"NS"
"ENSMUSG00000062859.15","chr17",28066745,28080639,"protein_coding","Tcp11",43,77,19,1,140,0,0,64,45.0267723265066,1.20553268901727,1.9675983698717,0.612692461773016,0.540079707852302,NA,2.30622406788313,27.2165757830133,62.8369688699998,"NS"
"ENSMUSG00000003420.8","chr7",45092990,45103851,"protein_coding","Fcgrt",1095,1717,836,1186,1145,1443,1463,293,1083.68163506245,0.205255858119814,0.335116625792174,0.612490823559154,0.540213067481381,0.828414756947447,1.1528907907781,1006.85779376802,1160.50547635688,"NS"
"ENSMUSG00000005107.13","chr5",38349273,38503143,"protein_coding","Slc2a9",0,111,57,0,93,115,0,69,53.8237485943872,1.20892881178529,1.97392347867145,0.612449684523213,0.54024027807018,NA,2.31165934398397,32.4935420053037,75.1539551834707,"NS"
"ENSMUSG00000002984.17","chr7",19701313,19715438,"protein_coding","Tomm40",693,1260,599,683,447,425,681,493,626.534349102437,-0.190269441369823,0.310754870617282,-0.612281445474604,0.540351563543378,0.828414756947447,0.876442019504532,667.496698773455,585.571999431419,"NS"
"ENSMUSG00000038301.15","chr6",51523901,51590679,"protein_coding","Snx10",496,421,215,660,268,569,217,170,352.34062827252,-0.269745768485353,0.440583757898385,-0.6122462838214,0.540374823452,NA,0.829465701264067,385.385774642554,319.295481902486,"NS"
"ENSMUSG00000062202.14","chr17",30215524,30576488,"protein_coding","Btbd9",1454,1866,1690,1636,1145,1431,1507,1361,1473.65347393648,0.125157927136506,0.204448160504259,0.612174386053715,0.540422386355391,0.828414756947447,1.09062711353595,1409.52407474761,1537.78287312535,"NS"
"ENSMUSG00000004631.15","chr6",4674350,4747207,"protein_coding","Sgce",543,636,433,314,479,347,167,223,368.830805146897,-0.244165752019156,0.398855999711881,-0.612165172883278,0.540428481343167,NA,0.844303879318602,399.906215891348,337.755394402446,"NS"
"ENSMUSG00000032854.12","chr3",125865271,125938619,"protein_coding","Ugt8a",12,50,0,0,0,32,100,0,23.447052727323,1.64217645142849,2.68261166185787,0.612155860938583,0.540434641710145,NA,3.12136366138237,11.3671928991201,35.5269125555258,"NS"
"ENSMUSG00000020925.16","chr11",102684686,102697782,"protein_coding","Ccdc43",456,388,653,252,0,369,0,252,268.631490936952,-1.17851863573152,1.92602812790385,-0.611890666941682,0.540610096961025,NA,0.441804912137073,372.636527920651,164.626453953252,"NS"
"ENSMUSG00000034023.16","chr6",113531682,113597017,"protein_coding","Fancd2",142,35,177,101,58,73,91,0,79.4131095728974,-0.776081854894996,1.26834470737331,-0.611885594179068,0.540613453433852,NA,0.583950564477504,100.304678618648,58.5215405271468,"NS"
"ENSMUSG00000055407.14","chr7",99267447,99337137,"protein_coding","Map6",789,740,460,455,692,119,291,311,463.812055916654,-0.289489753656268,0.473114936883726,-0.61188039329947,0.540616894688104,0.828414756947447,0.81819138189488,510.013282153121,417.610829680188,"NS"
"ENSMUSG00000024772.9","chr19",6276725,6300096,"protein_coding","Ehd1",1074,1565,1069,774,1111,1182,669,762,979.040527215776,0.144778389781893,0.236624773684388,0.611847979937215,0.540638341811071,0.828414756947447,1.10556081674008,929.805758075998,1028.27529635555,"NS"
"ENSMUSG00000027102.4","chr2",74704615,74707933,"protein_coding","Hoxd8",195,44,110,87,0,42,84,62,74.4751718732998,-0.800121502107994,1.30831488404105,-0.611566459930978,0.540824634549497,NA,0.574300808511791,94.597485616402,54.3528581301976,"NS"
"ENSMUSG00000056144.14","chr7",104244457,104262234,"protein_coding","Trim34a",64,124,230,98,53,204,0,0,84.6988518466815,-0.917385248305806,1.50082213991036,-0.611255140706148,0.541030683938727,NA,0.529467762686407,110.820285346666,58.5774183466971,"NS"
"ENSMUSG00000002329.7","chr14",55657879,55660508,"protein_coding","Mdp1",276,244,252,202,204,140,293,237,230.725374080057,0.30154867663325,0.493355130200304,0.611220312051523,0.541053738031745,NA,1.23246670825234,206.60489481845,254.845853341664,"NS"
"ENSMUSG00000029687.16","chr6",47530139,47595341,"protein_coding","Ezh2",401,603,366,327,275,213,237,307,325.497657077847,-0.238023883743701,0.389459288141476,-0.611164994625154,0.541090355243655,NA,0.847905927477054,352.053392212802,298.941921942892,"NS"
"ENSMUSG00000033862.7","chr8",123224842,123232250,"protein_coding","Cdk10",378,636,478,414,480,398,452,299,428.028021643245,0.194494969415585,0.318324781170425,0.610995376170403,0.541202641411303,0.829096686445874,1.14432350798769,399.126796802212,456.929246484277,"NS"
"ENSMUSG00000057363.12","chr1",43746966,43827800,"protein_coding","Uxs1",336,381,343,279,132,328,141,249,258.214482981259,-0.271817323193296,0.444908510815168,-0.61095105304969,0.541231984908642,NA,0.828275532527761,282.442094243045,233.986871719473,"NS"
"ENSMUSG00000038323.3","chr1",57377620,57385423,"protein_coding","1700066M21Rik",56,64,88,212,46,29,67,64,77.2451801922248,-0.623954831433198,1.02159037266602,-0.610768120107549,0.541353101491753,NA,0.648889698891818,93.6702225925908,60.8201377918588,"NS"
"ENSMUSG00000034912.18","chr12",66466060,67222549,"protein_coding","Mdga2",51,1,79,0,100,68,0,62,46.8286043528041,1.17125858815452,1.91828012835123,0.610577449478776,0.541479355460608,NA,2.25208079827412,28.8021239538406,64.8550847517676,"NS"
"ENSMUSG00000043456.17","chr7",37318024,37773641,"protein_coding","Zfp536",153,318,256,183,219,186,0,64,157.631928682044,-0.602019743118069,0.986073702804276,-0.610522054696314,0.541516038281773,NA,0.658830959778389,190.070398058958,125.19345930513,"NS"
"ENSMUSG00000046402.10","chr9",98422961,98446575,"protein_coding","Rbp1",96,294,151,151,295,192,0,258,178.869476743797,0.59578988281936,0.975900906967222,0.610502437866236,0.541529028984427,NA,1.51129980336241,142.41625004478,215.322703442814,"NS"
"ENSMUSG00000066036.14","chr4",139352609,139489588,"protein_coding","Ubr4",15342,15530,15100,13222,13258,16679,11923,7921,13050.0232017583,0.109552392429123,0.179459747726313,0.610456627834989,0.541559366015299,0.829460390512967,1.07889344932823,12555.0874846755,13544.9589188412,"NS"
"ENSMUSG00000118623.1","chr2",120456019,120504773,"protein_coding","AL935121.1",38,54,25,5,29,0,0,0,16.4339738962229,-1.53024481346585,2.5091143139478,-0.609874490356794,0.54194495202123,NA,0.346218611595916,24.4092704431098,8.4586773493361,"NS"
"ENSMUSG00000021786.13","chr14",16238652,16249808,"protein_coding","Oxsm",172,266,248,154,90,182,97,131,156.907217397515,-0.356122243164917,0.583931147362807,-0.609870264282464,0.54194775171487,NA,0.781261679108452,176.159312215553,137.655122579478,"NS"
"ENSMUSG00000024319.18","chr17",33955812,33967035,"protein_coding","Vps52",1081,1132,776,811,1145,1055,703,401,847.212139164859,0.170187274846634,0.279148368601412,0.609666019899401,0.542083068324044,0.829934843666899,1.12520453692082,797.400654340663,897.023623989055,"NS"
"ENSMUSG00000028468.15","chr4",43578715,43587487,"protein_coding","Rgp1",1248,1726,1658,1437,901,1015,1751,1343,1364.59822348768,0.164729607391385,0.270213082628099,0.609628541257961,0.542107900617288,0.829934843666899,1.1209559666711,1286.51673399,1442.67971298537,"NS"
"ENSMUSG00000035407.8","chr4",98754898,98817537,"protein_coding","Kank4",132,609,78,118,26,223,385,245,215.483194804162,0.46051293865545,0.755687887325962,0.609395686207168,0.542262196534341,NA,1.37603096795672,181.283599655408,249.682789952915,"NS"
"ENSMUSG00000034488.14","chr13",88821472,89323223,"protein_coding","Edil3",383,343,123,46,236,76,104,0,147.537683219657,-0.65088511232353,1.06808920046551,-0.609392092008658,0.542264578316972,NA,0.636889453742581,180.261732445713,114.813633993602,"NS"
"ENSMUSG00000030322.12","chr6",115840697,115853371,"protein_coding","Mbd4",128,189,26,99,154,182,0,181,117.778977822448,0.694356141671946,1.13944603572929,0.60938045321956,0.542272291078052,NA,1.61816210464772,89.9467005448325,145.611255100064,"NS"
"ENSMUSG00000042182.16","chr1",33852052,33907816,"protein_coding","Bend6",15,44,0,43,0,30,0,0,13.7772968782421,-1.73390590366342,2.84562336461616,-0.609323751422493,0.542309866853002,NA,0.300636919909806,21.2136443014162,6.34094945506796,"NS"
"ENSMUSG00000046027.17","chr7",83631959,83653127,"protein_coding","Stard5",325,691,283,203,276,308,186,497,336.564706024004,0.285222929975428,0.468161561265585,0.609240385315664,0.542365115185648,NA,1.21859855097732,303.167024603494,369.962387444515,"NS"
"ENSMUSG00000001847.14","chr5",143503634,143528036,"protein_coding","Rac1",2116,1986,1834,1191,1077,1781,1077,1088,1435.56952084658,-0.123034161821709,0.202026085359191,-0.609001365358145,0.542523533893603,0.830388288777703,0.91825441854064,1496.74664103232,1374.39240066084,"NS"
"ENSMUSG00000020878.6","chr11",97034602,97041407,"protein_coding","Lrrc46",0,27,19,41,102,0,0,55,33.7594177612799,1.36715812800695,2.2454212024912,0.608864887572161,0.542613999589858,NA,2.57961922751634,18.8596784674801,48.6591570550796,"NS"
"ENSMUSG00000021675.4","chr13",95696853,95702739,"protein_coding","F2rl2",102,162,152,23,44,92,67,0,70.7800990446102,-0.802709619752009,1.31874736839343,-0.608690973715395,0.542729291062059,NA,0.573271467183997,90.0093982700504,51.55079981917,"NS"
"ENSMUSG00000056718.2","chr2",5862080,5862934,"protein_coding","Gm13199",40,0,0,0,0,51,69,0,19.5363168541889,1.85868745618348,3.05496238818966,0.608415823176442,0.542911719575343,NA,3.62677553008454,8.44638877037953,30.6262449379983,"NS"
"ENSMUSG00000049502.17","chr16",35926511,35939151,"protein_coding","Dtx3l",379,583,279,419,48,530,300,187,311.395058989176,-0.322803563500938,0.530688532318855,-0.608273109069159,0.543006352980277,NA,0.799514684385655,346.189388758944,276.600729219407,"NS"
"ENSMUSG00000116673.1","chr16",98001310,98082450,"protein_coding","A630089N07Rik",68,146,155,0,0,186,50,245,106.554189067099,0.874692168400576,1.43809756138776,0.608228670909156,0.543035821502034,NA,1.83361680107221,75.1865652789098,137.921812855289,"NS"
"ENSMUSG00000032913.13","chr3",104396418,104511918,"protein_coding","Lrig2",899,954,669,792,243,762,1068,100,636.15309322673,-0.284404109700226,0.467962000388899,-0.60775043585563,0.543353006549096,0.831407586043993,0.821080677682587,698.798772199257,573.507414254203,"NS"
"ENSMUSG00000079184.10","chr14",56668248,56697430,"protein_coding","Mphosph8",291,406,333,299,277,370,152,383,307.131276860235,0.255834794694994,0.421077783661065,0.607571343400347,0.543471811722194,NA,1.19402644937685,279.874375697997,334.388178022473,"NS"
"ENSMUSG00000000581.8","chr11",17257579,17269176,"protein_coding","C1d",187,282,101,184,130,114,279,172,178.743891244064,0.366278901520945,0.603001344766218,0.607426342743814,0.543568010773397,NA,1.28902380022651,156.094238106146,201.393544381983,"NS"
"ENSMUSG00000032688.9","chr18",65430938,65479067,"protein_coding","Malt1",885,1194,865,914,709,1307,1151,315,867.050222326466,0.185272877648581,0.305015615955527,0.607420957999718,0.543571583384356,0.831407586043993,1.13703201610578,811.690553154692,922.409891498241,"NS"
"ENSMUSG00000063564.13","chr11",51289920,51583918,"protein_coding","Col23a1",519,563,397,227,535,667,108,293,390.920223493215,0.28074990673309,0.462255745071562,0.607347577020654,0.543620270556232,0.831407586043993,1.21482618177935,353.019908402777,428.820538583652,"NS"
"ENSMUSG00000021715.12","chr13",104631140,104817142,"protein_coding","Cwc27",181,251,143,404,125,100,291,53,185.460472018968,-0.406027407350796,0.668659507278363,-0.607225954213146,0.543700970231619,NA,0.754698646866411,211.403235909191,159.517708128745,"NS"
"ENSMUSG00000021879.13","chr14",26693274,26891703,"protein_coding","Dnah12",1665,2160,1754,2232,2416,1359,831,661,1560.53717110725,-0.189381645665441,0.311905370601735,-0.607176610329221,0.543733712792064,0.831407586043993,0.876981524319107,1662.87239210586,1458.20195010865,"NS"
"ENSMUSG00000045019.4","chr17",56953490,56982126,"protein_coding","Acer1",202,149,135,0,141,97,104,188,127.832508973192,0.64954766990989,1.06997161986924,0.607069998725076,0.54380445919238,NA,1.56867628952539,99.4913787303827,156.173639216002,"NS"
"ENSMUSG00000026450.14","chr1",134111242,134151540,"protein_coding","Chit1",527,1006,279,312,632,178,211,720,478.39200969289,0.31193893856003,0.513880853436253,0.607025804666852,0.54383378727243,0.831407586043993,1.24137494975952,426.607584030994,530.176435354787,"NS"
"ENSMUSG00000023147.17","chr16",96145407,96157852,"protein_coding","Get1",159,529,340,161,489,219,87,276,275.585783215443,0.348584669066127,0.574264754988681,0.607010383343128,0.543844021363132,NA,1.2733108548681,242.344305563746,308.82726086714,"NS"
